Cluster,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy
0,87.5,52.07,61.9125,27.55573648,42.52428469,9.5,12.25
1,74,32.385,37.465,10.43262451,15.0819463,12,13.75
2,,55.245,62.23,23.81359943,34.01942775,11,14
3,95.42857143,60.59714286,69.66857143,33.0474441,52.4871171,10.57142857,12.42857143
4,152,58.42,71.755,17.69010243,23.81359943,11.5,14.5
5,140.8333333,42.75666667,49.53,16.63172023,25.93036382,11,13.66666667
6,82,53.467,63.627,27.66913457,42.32016812,11.55555556,13.55555556
7,93.66666667,22.01333333,28.78666667,4.233528787,4.838318613,13.66666667,15.66666667
8,,41.48666667,51.64666667,15.57333804,22.22602613,12.33333333,14
9,59.5,56.1975,66.675,20.97864711,41.95729423,10.75,12
10,19.75,32.004,38.608,13.33561568,18.96016107,11.2,13
11,138.5,55.03333333,64.77,26.08156128,38.17735781,10.83333333,12.83333333
12,96.8,54.356,61.976,21.77243376,30.39068879,11.2,13.8
13,7,29.63333333,33.86666667,8.16466266,13.75896856,10,18
14,112.1428571,27.94,31.20571429,7.678670835,9.817034865,11.71428571,15
15,191,30.48,38.1,9.0718474,13.6077711,12,15
16,,44.45,55.45666667,19.58007064,35.60700105,10.83333333,13.16666667
17,78,27.432,37.084,4.08233133,9.706876718,12.8,15
18,,49.05375,60.80125,19.10757859,31.69476685,11,13.75
19,70,33.81375,38.735,10.77281879,15.13864535,11.875,14.875
20,96,44.72214286,52.25142857,16.03773023,27.5071373,11.83333333,13.66666667
21,95,21.218,29.718,14.62341928,9.97903214,12.06796185,14.2
22,77.33333333,55.45666667,65.19333333,21.92363122,34.01942775,11,13.33333333
23,134,48.768,58.674,18.32513175,28.66703778,12.4,14.2
24,110.8,53.34,60.96,17.87153938,25.76404662,11.4,14.2
25,66,64.77,77.724,53.43318119,84.36818082,7.6,10.4
26,100.6,46.228,51.562,13.92528576,18.5065687,12.2,14.8
27,161.25,46.0375,53.34,18.1436948,24.60738607,11,13.75
28,57.66666667,23.495,42.545,9.185245493,16.44272341,12.5,16.25
29,106.75,54.152,66.548,49.35020486,53.52389966,7.2,10.6
30,77,67.28,43.434,20.41118756,15.14998516,12.79370964,14.2
31,,56.515,66.04,34.24622394,51.14253972,10.75,13.25
32,106,43.4975,51.1175,18.1436948,23.81359943,11.25,13.75
33,142,39.37,47.9425,14.40155775,19.84466619,13.25,14.75
34,,48.6664,57.2516,15.87573295,25.03829882,11.6,14.8
35,100,39.35125,40.16375,11.92283191,12.11739617,11.74737902,14.25
36,86.14285714,22.86,28.12142857,5.89670081,7.97026593,10.85714286,13.71428571
37,76.33333333,37.30625,43.259375,14.96854821,20.41165665,11.5,14.5
38,143.6666667,46.14333333,52.07,23.43560578,31.7514659,10,12
39,,50.165,63.5,21.54563758,32.88544683,10,14
40,180.5,55.03333333,66.04,22.6796185,30.99547862,11.33333333,13.33333333
41,41,67.31,81.28,44.22525608,62.36895087,8.5,11
42,123.5,48.26,58.23857143,19.69886864,27.8635313,11.28571429,13.85714286
43,64,47.752,57.912,15.42214058,26.30835746,12.4,14.8
44,133.3333333,29.05125,52.54625,4.706020839,17.23651006,9.5,12.5
45,50,49.34857143,58.23857143,18.30569208,26.95634656,11.71428571,13.42857143
46,134.5,55.03333333,62.65333333,21.47003885,29.78589896,11,13.5
47,127.3333333,34.925,47.3075,9.412041678,14.28815966,11.5,14.25
48,69.5,24.13,26.035,4.08233133,7.030681735,11,16.5
49,115.75,55.88,66.675,25.51457081,39.68933238,11,13.25
50,55,43.18,50.8,15.1953444,21.54563758,11.33333333,14.66666667
51,112,38.1,38.1,6.80388555,8.16466266,12,15
52,63.33333333,46.56666667,57.15,18.89968208,30.99547862,10.33333333,13
53,67.25,47.012,65.024,32.65806428,38.10175908,14.95029318,12.6
54,107.6666667,35.34833333,42.12166667,10.1302296,15.42214058,13,15.33333333
55,25.25,50.8,59.055,20.41165665,30.05049451,11,13
56,52.5,58.42,65.19333333,29.48350405,46.87121157,10,13.66666667
57,160,43.60333333,51.64666667,13.00298127,20.41165665,12,14.33333333
58,123,49.10666667,54.18666667,20.41165665,30.99547862,11.33333333,13.33333333
59,150,27.94,33.02,4.5359237,7.559872833,12,15
